,ID,PurchaseCount,Days_Since_Last_Purchase,Total_Transactions_Unique,Total_Products_Purchased,Total_Spend,Average_Transaction_Value,Unique_Products_Purchased,Average_Days_Between_Purchases,Day_Of_Week,Hour,Monthly_Spending_Mean,Monthly_Spending_Std,Spending_Trend,Spender_Category_Num,Frequency_Category_Num
162,238.0,3,3,3,3,99.47,33.156666666666666,3,48.0,2,7,33.156666666666666,36.61787314049429,5.265000000000001,3,2
163,241.0,1,114,1,1,30.99,30.99,1,0.0,2,6,30.99,0.0,0.0,1,2
164,242.0,1,93,1,1,6.63,6.63,1,0.0,2,20,6.63,0.0,0.0,2,2
165,246.0,1,86,1,1,24.95,24.95,1,0.0,2,0,24.95,0.0,0.0,2,2
166,250.0,1,42,1,1,4.97,4.97,1,0.0,4,6,4.97,0.0,0.0,1,2
167,251.0,1,79,1,1,6.0,6.0,1,0.0,2,15,6.0,0.0,0.0,1,2
168,252.0,1,122,1,1,4.48,4.48,1,0.0,1,21,4.48,0.0,0.0,2,2
169,254.0,2,99,2,2,49.2,24.6,2,16.0,1,6,49.2,0.0,0.0,2,2
170,255.0,1,7,1,1,48.3,48.3,1,0.0,4,2,48.3,0.0,0.0,3,2
171,256.0,1,79,1,1,4.28,4.28,1,0.0,2,0,4.28,0.0,0.0,1,2
172,257.0,1,30,1,1,17.98,17.98,1,0.0,2,0,17.98,0.0,0.0,2,2
173,261.0,1,114,1,1,149.95,149.95,1,0.0,2,9,149.95,0.0,0.0,2,2
174,262.0,2,38,2,2,17.07,8.535,2,83.0,1,11,8.535,2.213244225113894,-3.13,2,2
175,264.0,1,9,1,1,17.73,17.73,1,0.0,2,11,17.73,0.0,0.0,2,2
176,270.0,2,108,1,1,9.97,9.97,1,0.0,1,20,9.97,0.0,0.0,2,2
177,272.0,3,9,2,2,86.8,43.4,2,34.0,2,10,43.4,36.005877298018994,50.92,2,2
178,273.0,2,72,1,1,10.45,10.45,1,0.0,2,16,10.45,0.0,0.0,2,2
179,274.0,1,93,1,1,19.12,19.12,1,0.0,2,21,19.12,0.0,0.0,2,2
180,275.0,2,92,2,2,20.22,10.11,2,29.0,2,6,10.11,6.745798692519664,-9.54,1,2
181,278.0,1,2,1,1,17.64,17.64,1,0.0,2,15,17.64,0.0,0.0,2,2
182,279.0,2,16,2,2,20.48,10.24,2,91.0,2,5,10.24,1.7677669529663689,2.5,2,2
183,280.0,2,114,2,2,80.0,40.0,2,7.0,2,7,80.0,0.0,0.0,3,2
184,282.0,2,24,2,2,53.53,26.765,2,69.0,1,19,26.765,26.254874785456508,-37.13,2,2
185,283.0,2,58,2,2,32.77,16.384999999999998,2,14.0,2,6,16.384999999999998,7.459976541518076,-10.55,2,2
186,284.0,3,87,3,3,55.48,18.49333333333333,3,17.0,1,12,27.74,18.568624073958738,26.26,2,2
187,287.0,1,1,1,1,8.33,8.33,1,0.0,3,4,8.33,0.0,0.0,2,2
188,290.0,2,45,2,2,42.79,21.395,2,48.0,1,8,21.395,21.51725935150664,-30.43,2,2
189,291.0,1,107,1,1,20.13,20.13,1,0.0,2,2,20.13,0.0,0.0,2,2
190,292.0,2,86,2,2,21.9,10.95,2,6.0,2,5,21.9,0.0,0.0,2,2
191,293.0,1,31,1,1,39.35,39.35,1,0.0,1,16,39.35,0.0,0.0,2,2
192,295.0,1,71,1,1,14.99,14.99,1,0.0,3,1,14.99,0.0,0.0,2,2
193,296.0,2,8,2,2,28.41,14.204999999999998,2,100.0,1,9,14.204999999999998,8.152941187080893,11.53,1,2
194,300.0,1,64,1,1,11.75,11.75,1,0.0,3,15,11.75,0.0,0.0,1,2
195,301.0,1,107,1,1,57.0,57.0,1,0.0,2,11,57.0,0.0,0.0,2,2
196,302.0,1,8,1,1,20.99,20.99,1,0.0,3,8,20.99,0.0,0.0,2,2
197,304.0,1,79,1,1,22.0,22.0,1,0.0,2,23,22.0,0.0,0.0,2,2
198,305.0,1,52,1,1,39.99,39.99,1,0.0,1,16,39.99,0.0,0.0,2,2
199,308.0,1,100,1,1,20.97,20.97,1,0.0,2,22,20.97,0.0,0.0,3,2
200,309.0,3,8,3,3,24.96,8.32,2,63.0,3,5,12.48,0.7212489168102781,-1.0199999999999996,2,2
201,310.0,1,121,1,1,35.19,35.19,1,0.0,2,14,35.19,0.0,0.0,2,2
202,312.0,1,92,1,1,9.99,9.99,1,0.0,3,11,9.99,0.0,0.0,1,2
203,313.0,1,99,1,1,10.53,10.53,1,0.0,3,4,10.53,0.0,0.0,2,2
204,314.0,1,16,1,1,9.57,9.57,1,0.0,2,7,9.57,0.0,0.0,2,2
205,316.0,2,30,2,2,61.58,30.79,2,70.0,2,21,30.79,18.370634175226503,-25.98,2,2
206,317.0,2,108,2,2,20.22,10.11,2,6.0,1,10,20.22,0.0,0.0,2,2
207,318.0,1,2,1,1,8.96,8.96,1,0.0,2,19,8.96,0.0,0.0,1,2
208,324.0,2,107,1,1,40.22,40.22,1,0.0,2,7,40.22,0.0,0.0,3,2
209,327.0,2,8,1,1,28.95,28.95,1,0.0,3,20,28.95,0.0,0.0,3,2
210,328.0,2,72,2,2,9.75,4.875,2,50.0,1,3,4.875,2.6940768363207463,3.81,2,2
211,332.0,1,79,1,1,14.72,14.72,1,0.0,2,10,14.72,0.0,0.0,2,2
212,333.0,1,23,1,1,9.99,9.99,1,0.0,2,5,9.99,0.0,0.0,2,2
213,336.0,1,16,1,1,54.16,54.16,1,0.0,2,5,54.16,0.0,0.0,2,2
214,337.0,2,107,2,2,29.24,14.62,2,8.0,1,7,29.24,0.0,0.0,2,2
215,340.0,1,85,1,1,10.89,10.89,1,0.0,3,2,10.89,0.0,0.0,2,2
216,341.0,1,114,1,1,4.98,4.98,1,0.0,2,4,4.98,0.0,0.0,2,2
217,342.0,2,100,1,1,196.11,196.11,1,0.0,2,16,196.11,0.0,0.0,2,2
218,343.0,1,52,1,1,7.99,7.99,1,0.0,1,17,7.99,0.0,0.0,1,2
219,344.0,3,121,1,1,6.0,6.0,1,0.0,2,3,6.0,0.0,0.0,2,2
220,347.0,1,85,1,1,4.97,4.97,1,0.0,3,4,4.97,0.0,0.0,1,2
221,348.0,1,121,1,1,28.99,28.99,1,0.0,2,1,28.99,0.0,0.0,2,2
222,351.0,2,80,2,2,33.81,16.905,2,26.0,1,3,16.905,12.72085099354599,-17.99,2,2
223,355.0,2,114,1,1,7.99,7.99,1,0.0,2,4,7.99,0.0,0.0,1,2
224,357.0,1,43,1,1,6.97,6.97,1,0.0,3,7,6.97,0.0,0.0,2,2
225,359.0,3,43,2,2,54.69,27.345,2,56.0,3,7,27.345,3.740594872476836,5.289999999999999,2,2
226,363.0,1,92,1,1,8.99,8.99,1,0.0,3,6,8.99,0.0,0.0,2,2
227,365.0,1,51,1,1,5.23,5.23,1,0.0,2,20,5.23,0.0,0.0,2,2
228,367.0,3,3,2,2,46.790000000000006,23.395000000000003,2,75.0,1,7,23.395000000000003,9.934850275670994,-14.05,2,2
229,369.0,1,30,1,1,0.98,0.98,1,0.0,2,20,0.98,0.0,0.0,1,2
230,372.0,1,107,1,1,38.0,38.0,1,0.0,2,1,38.0,0.0,0.0,2,2
231,373.0,3,7,2,2,42.66,21.33,2,85.0,3,0,21.33,27.36503243191939,38.7,2,2
232,375.0,1,114,1,1,114.95,114.95,1,0.0,2,6,114.95,0.0,0.0,2,2
233,378.0,2,42,2,2,43.58,21.79,2,66.0,1,9,21.79,0.212132034355966,0.3000000000000007,2,2
234,386.0,1,86,1,1,19.99,19.99,1,0.0,2,14,19.99,0.0,0.0,2,2
235,387.0,1,51,1,1,17.95,17.95,1,0.0,2,0,17.95,0.0,0.0,2,2
236,389.0,2,73,1,1,7.02,7.02,1,0.0,1,15,7.02,0.0,0.0,1,2
237,390.0,1,2,1,1,10.17,10.17,1,0.0,2,11,10.17,0.0,0.0,2,2
238,391.0,1,51,1,1,12.5,12.5,1,0.0,2,0,12.5,0.0,0.0,2,2
239,392.0,1,43,1,1,57.95,57.95,1,0.0,3,3,57.95,0.0,0.0,2,2
240,395.0,1,59,1,1,26.99,26.99,1,0.0,1,15,26.99,0.0,0.0,2,2
241,398.0,2,45,2,2,46.81,23.405,2,48.0,1,0,23.405,15.945257915756644,-22.55,2,2
242,400.0,1,73,1,1,71.79,71.79,1,0.0,1,16,71.79,0.0,0.0,2,2
243,401.0,1,93,1,1,5.17,5.17,1,0.0,2,0,5.17,0.0,0.0,1,2
244,402.0,1,79,1,1,14.5,14.5,1,0.0,2,23,14.5,0.0,0.0,2,2
245,404.0,3,79,1,1,15.99,15.99,1,0.0,2,14,15.99,0.0,0.0,2,2
246,405.0,1,6,1,1,22.19,22.19,1,0.0,5,7,22.19,0.0,0.0,3,2
247,406.0,1,7,1,1,17.18,17.18,1,0.0,4,5,17.18,0.0,0.0,2,2
248,407.0,2,7,2,2,15.45,7.725,2,2.0,2,7,15.45,0.0,0.0,2,2
249,411.0,1,22,1,1,5.39,5.39,1,0.0,3,11,5.39,0.0,0.0,2,2
250,414.0,1,93,1,1,48.18,48.18,1,0.0,2,8,48.18,0.0,0.0,2,2
251,415.0,2,86,1,1,48.99,48.99,1,0.0,2,11,48.99,0.0,0.0,2,2
252,417.0,2,93,2,2,28.44,14.22,2,29.0,1,2,14.22,7.467047609329943,10.56,2,2
253,419.0,2,1,2,2,32.52,16.26,2,119.0,3,0,16.26,10.2813325984524,14.54,2,2
254,423.0,1,64,1,1,14.69,14.69,1,0.0,3,15,14.69,0.0,0.0,2,2
255,425.0,1,0,1,1,40.5,40.5,1,0.0,4,0,40.5,0.0,0.0,2,2
256,427.0,1,99,1,1,87.34,87.34,1,0.0,3,2,87.34,0.0,0.0,2,2
257,428.0,1,92,1,1,24.76,24.76,1,0.0,3,5,24.76,0.0,0.0,2,2
